DealerTotal,P17,P18,P19,P20,P21,PBust
21,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
20,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
19,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
18,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
17,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16,7.69%,7.69%,7.69%,7.69%,7.69%,61.54%
15,8.28%,8.28%,8.28%,8.28%,8.28%,58.58%
14,8.92%,8.92%,8.92%,8.92%,8.92%,55.39%
13,9.61%,9.61%,9.61%,9.61%,9.61%,51.96%
12,10.35%,10.35%,10.35%,10.35%,10.35%,48.27%
11,11.14%,11.14%,11.14%,11.14%,34.22%,21.21%
10,12.00%,12.00%,12.00%,35.08%,6.08%,22.84%
9,12.92%,12.92%,36.00%,7.01%,6.55%,24.60%
8,13.92%,36.99%,8.00%,7.54%,7.05%,26.49%
7,38.06%,9.07%,8.61%,8.12%,7.60%,28.53%
6,12.00%,11.54%,11.05%,10.52%,9.96%,44.93%
5,12.47%,11.98%,11.45%,10.88%,10.27%,42.96%
4,12.93%,12.41%,11.84%,11.23%,10.57%,41.03%
3,13.40%,12.83%,12.22%,11.56%,10.85%,39.13%
2,13.86%,13.25%,12.59%,11.88%,11.12%,37.29%
