#,P17,P18,P19,P20,P21,PBust
H21,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
H20,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
H19,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
H18,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
H17,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
H16,7.69%,7.69%,7.69%,7.69%,7.69%,61.54%
H15,8.28%,8.28%,8.28%,8.28%,8.28%,58.58%
H14,8.92%,8.92%,8.92%,8.92%,8.92%,55.39%
H13,9.61%,9.61%,9.61%,9.61%,9.61%,51.96%
H12,10.35%,10.35%,10.35%,10.35%,10.35%,48.27%
H11,11.14%,11.14%,11.14%,11.14%,34.22%,21.21%
H10,11.14%,11.14%,11.14%,34.22%,11.14%,21.21%
H9,12.00%,12.00%,35.08%,12.00%,6.08%,22.84%
H8,12.86%,35.93%,12.86%,6.94%,6.94%,24.47%
H7,36.86%,13.78%,7.86%,7.86%,7.41%,26.23%
H6,16.54%,10.63%,10.63%,10.17%,9.72%,42.32%
H5,12.23%,12.23%,11.77%,11.31%,10.82%,41.64%
H4,13.05%,12.59%,12.14%,11.65%,11.12%,39.45%
H3,13.50%,13.05%,12.56%,12.03%,11.47%,37.39%
H2,13.98%,13.49%,12.97%,12.40%,11.80%,35.36%
S21,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
S20,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
S19,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
S18,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
S17,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
S16,12.92%,12.92%,12.92%,12.92%,12.92%,35.41%
S15,13.46%,13.46%,13.46%,13.46%,13.46%,32.72%
S14,14.00%,14.00%,14.00%,14.00%,14.00%,30.00%
S13,14.55%,14.55%,14.55%,14.55%,14.55%,27.25%
S12,15.10%,15.10%,15.10%,15.10%,15.10%,24.50%
S11,13.08%,13.08%,13.08%,13.08%,36.16%,11.53%
