#,A,10,9,8,7,6,5,4,3,2
BJ,103.85%,138.46%,150.00%,150.00%,150.00%,150.00%,150.00%,150.00%,150.00%,150.00%
H21,33.07%,81.17%,93.92%,93.06%,92.59%,90.28%,89.18%,88.88%,88.53%,88.20%
H20,14.61%,43.50%,75.84%,79.18%,77.32%,70.40%,67.04%,66.10%,65.03%,64.00%
H19,-11.55%,-1.87%,28.76%,59.39%,61.60%,49.60%,43.95%,42.32%,40.44%,38.63%
H18,-37.71%,-24.15%,-18.32%,10.60%,39.96%,28.34%,19.96%,17.59%,14.83%,12.17%
H17,-63.86%,-46.44%,-42.32%,-38.20%,-10.68%,1.17%,-4.49%,-8.06%,-11.72%,-15.30%
H16,-66.57%,-57.52%,-50.93%,-45.84%,-41.48%,-15.37%,-16.72%,-21.11%,-25.23%,-29.28%
H15,-64.00%,-54.25%,-47.16%,-41.68%,-36.98%,-15.37%,-16.72%,-21.11%,-25.23%,-29.28%
H14,-61.23%,-50.74%,-43.09%,-37.19%,-32.13%,-15.37%,-16.72%,-21.11%,-25.23%,-29.28%
H13,-58.25%,-46.95%,-38.72%,-32.36%,-26.91%,-15.37%,-16.72%,-21.11%,-25.23%,-29.28%
H12,-55.04%,-42.87%,-34.00%,-27.16%,-21.28%,-15.37%,-16.72%,-21.11%,-23.37%,-25.34%
H11,-20.87%,3.34%,15.83%,23.00%,29.21%,33.37%,30.73%,28.30%,26.03%,23.84%
H10,-25.13%,-5.36%,11.65%,19.80%,25.69%,28.78%,25.63%,23.05%,20.61%,18.25%
H9,-35.32%,-21.81%,-5.22%,9.84%,17.19%,19.60%,15.80%,12.90%,10.13%,7.44%
H8,-44.41%,-30.71%,-21.02%,-5.99%,8.22%,11.50%,7.08%,3.88%,0.80%,-2.18%
H7,-52.24%,-37.14%,-28.54%,-21.06%,-6.88%,2.92%,-0.73%,-4.30%,-7.66%,-10.92%
H6,-51.83%,-38.87%,-29.26%,-21.72%,-15.19%,-1.30%,-3.49%,-7.29%,-10.73%,-14.08%
H5,-50.06%,-36.62%,-26.66%,-18.81%,-11.94%,-0.12%,-2.40%,-6.15%,-9.53%,-12.82%
H4,-48.29%,-34.39%,-24.07%,-15.93%,-8.83%,1.11%,-1.24%,-4.94%,-8.26%,-11.49%
S21,33.07%,81.17%,93.92%,93.06%,92.59%,90.28%,89.18%,88.88%,88.53%,88.20%
S20,14.61%,43.50%,75.84%,79.18%,77.32%,70.40%,67.04%,66.10%,65.03%,64.00%
S19,-11.55%,-1.87%,28.76%,59.39%,61.60%,49.60%,43.95%,42.32%,40.44%,38.63%
S18,-37.20%,-20.97%,-10.07%,10.60%,39.96%,28.34%,19.96%,17.59%,14.83%,12.17%
S17,-43.20%,-25.86%,-14.98%,-7.29%,5.38%,12.81%,9.12%,5.93%,2.90%,-0.05%
S16,-42.24%,-26.84%,-14.86%,-6.68%,-0.49%,9.88%,7.34%,4.00%,0.91%,-2.10%
S15,-39.77%,-23.73%,-11.22%,-2.71%,3.70%,11.82%,9.20%,5.93%,2.92%,-0.01%
S14,-37.27%,-20.57%,-7.52%,1.33%,7.95%,13.92%,11.19%,8.01%,5.08%,2.24%
S13,-34.74%,-17.37%,-3.77%,5.41%,12.24%,16.17%,13.34%,10.25%,7.41%,4.66%
