#,A,10,9,8,7,6,5,4,3,2
H20,-172.67%,-170.08%,-169.12%,-169.87%,-169.26%,-170.81%,-170.42%,-170.83%,-171.48%,-170.50%
H19,-144.30%,-146.05%,-144.41%,-142.79%,-143.31%,-144.22%,-145.79%,-143.95%,-145.13%,-147.83%
H18,-125.34%,-128.20%,-123.10%,-118.58%,-117.50%,-119.68%,-123.00%,-121.44%,-125.18%,-125.14%
H17,-112.59%,-115.69%,-108.40%,-100.29%,-95.32%,-100.48%,-104.33%,-106.33%,-108.03%,-107.41%
H16,-101.58%,-105.94%,-99.54%,-92.27%,-82.72%,-85.69%,-90.65%,-91.38%,-92.37%,-93.94%
H15,-99.16%,-100.14%,-95.11%,-83.78%,-74.98%,-73.45%,-78.06%,-80.32%,-83.04%,-81.90%
H14,-91.76%,-92.68%,-86.39%,-76.93%,-67.72%,-61.18%,-63.37%,-66.92%,-69.25%,-73.76%
H13,-87.43%,-85.96%,-80.96%,-69.12%,-59.67%,-47.30%,-51.06%,-54.59%,-58.13%,-61.04%
H12,-82.80%,-78.76%,-74.95%,-62.79%,-51.00%,-34.11%,-37.17%,-42.41%,-46.48%,-50.26%
H11,11.55%,18.38%,20.82%,34.60%,46.93%,68.27%,62.89%,57.20%,54.19%,49.30%
H10,-1.00%,-0.46%,15.92%,27.80%,41.32%,57.60%,52.12%,49.08%,41.66%,37.51%
H9,-41.23%,-45.36%,-30.60%,-1.96%,11.12%,32.91%,26.18%,20.26%,12.70%,6.33%
H8,-81.09%,-73.78%,-71.85%,-45.40%,-18.14%,9.65%,2.27%,-5.86%,-12.15%,-19.60%
H7,-113.06%,-94.52%,-95.59%,-85.08%,-58.57%,-14.36%,-19.22%,-27.31%,-35.08%,-42.85%
H6,-130.80%,-105.74%,-106.78%,-100.73%,-90.49%,-28.05%,-30.21%,-39.04%,-47.18%,-55.90%
H5,-133.43%,-107.62%,-108.68%,-102.48%,-95.46%,-30.31%,-32.18%,-40.97%,-49.04%,-57.84%
H4,-133.43%,-107.62%,-108.68%,-102.48%,-95.46%,-30.31%,-32.18%,-40.97%,-49.04%,-57.84%
S20,-0.31%,-1.89%,15.29%,28.95%,40.58%,56.70%,50.82%,47.22%,42.45%,36.19%
S19,-19.16%,-23.40%,-6.72%,19.30%,31.89%,46.86%,39.95%,34.54%,30.71%,23.21%
S18,-36.55%,-32.44%,-28.83%,-0.75%,21.35%,40.18%,28.59%,23.87%,18.46%,11.98%
S17,-54.67%,-44.46%,-38.28%,-25.87%,-2.97%,27.25%,17.40%,11.93%,2.83%,1.11%
S16,-64.34%,-52.41%,-44.91%,-32.34%,-17.08%,18.35%,12.27%,5.43%,-0.89%,-7.37%
S15,-63.99%,-50.32%,-45.56%,-31.16%,-18.36%,17.14%,12.99%,7.09%,1.42%,-4.01%
S14,-61.41%,-50.38%,-41.20%,-31.93%,-17.11%,19.28%,13.74%,5.99%,0.67%,-6.69%
S13,-58.55%,-50.35%,-45.93%,-31.88%,-19.76%,19.32%,12.46%,7.53%,2.66%,-5.92%
S12,-63.16%,-51.39%,-46.05%,-29.68%,-19.17%,13.97%,12.45%,6.62%,-0.66%,-2.47%
