#,A,10,9,8,7,6,5,4,3,2
H20,-89.97%,-85.43%,-83.19%,-88.43%,-83.05%,-87.28%,-88.09%,-86.38%,-83.86%,-85.05%
H19,-64.77%,-70.35%,-64.33%,-62.38%,-76.56%,-68.95%,-71.90%,-64.57%,-72.95%,-73.02%
H18,-57.67%,-66.70%,-65.20%,-60.31%,-59.72%,-67.11%,-61.29%,-55.37%,-71.48%,-66.17%
H17,-62.88%,-55.56%,-52.83%,-46.75%,-51.22%,-47.84%,-53.67%,-48.36%,-51.27%,-60.07%
H16,-48.90%,-53.35%,-52.12%,-41.49%,-36.98%,-41.85%,-48.39%,-51.17%,-42.42%,-38.38%
H15,-47.70%,-53.16%,-44.80%,-40.46%,-33.03%,-35.21%,-47.96%,-39.83%,-46.62%,-42.69%
H14,-43.56%,-43.40%,-42.44%,-38.71%,-34.67%,-28.33%,-31.84%,-29.66%,-41.01%,-33.40%
H13,-42.25%,-42.72%,-39.74%,-32.82%,-21.93%,-20.08%,-23.69%,-28.32%,-29.84%,-21.89%
H12,-39.41%,-37.54%,-32.89%,-26.49%,-18.30%,-20.18%,-19.24%,-22.35%,-21.38%,-22.77%
H11,16.90%,15.17%,8.96%,19.16%,33.30%,41.95%,29.14%,32.38%,25.82%,29.74%
H10,8.98%,3.33%,10.00%,20.26%,21.90%,33.38%,22.28%,26.09%,16.61%,20.68%
H9,-8.37%,-14.83%,-4.71%,11.51%,24.25%,18.62%,9.93%,16.03%,12.88%,13.75%
H8,-20.68%,-24.53%,-20.91%,-5.37%,13.11%,12.65%,3.88%,7.28%,-5.16%,2.38%
H7,-33.60%,-32.99%,-31.99%,-21.63%,-1.41%,5.81%,-1.36%,1.25%,-8.35%,-9.14%
H6,-29.57%,-32.82%,-34.47%,-23.25%,-8.78%,1.11%,-5.05%,-6.01%,-12.05%,-10.56%
H5,-29.63%,-29.77%,-25.60%,-17.07%,-12.28%,-0.17%,-4.70%,-3.27%,-8.70%,-16.37%
H4,-17.41%,-29.61%,-16.78%,-10.61%,-7.62%,1.73%,-3.99%,-7.91%,-5.69%,-6.67%
S20,-6.75%,7.38%,8.26%,9.68%,23.20%,32.87%,28.03%,16.82%,17.30%,23.21%
S19,-5.74%,-15.58%,-1.98%,6.48%,20.19%,23.29%,29.50%,15.09%,12.91%,8.99%
S18,-29.48%,-13.58%,-17.69%,-4.60%,22.22%,22.35%,14.26%,24.30%,-2.45%,18.91%
S17,-7.35%,-24.87%,-27.07%,-6.95%,7.88%,20.42%,12.90%,8.16%,-4.94%,4.91%
S16,-19.76%,-18.48%,-8.59%,-13.74%,5.35%,7.76%,12.22%,-2.53%,6.41%,7.01%
S15,-16.71%,-17.18%,6.17%,-12.97%,14.12%,15.08%,-1.49%,7.39%,4.18%,1.94%
S14,-29.20%,-13.57%,-5.31%,9.81%,8.61%,24.76%,10.73%,11.17%,6.02%,11.82%
S13,-8.84%,-13.42%,-8.01%,18.75%,29.61%,12.42%,12.08%,20.67%,3.63%,6.23%
S12,-16.17%,-2.83%,-14.23%,6.15%,19.52%,8.70%,8.59%,14.33%,9.03%,15.22%
