#,A,10,9,8,7,6,5,4,3,2
H20,-171.86%,-169.58%,-169.35%,-169.51%,-169.67%,-170.31%,-171.17%,-170.86%,-170.72%,-171.30%
H19,-146.72%,-144.14%,-141.67%,-142.70%,-140.34%,-143.39%,-144.34%,-145.43%,-144.95%,-147.27%
H18,-125.14%,-127.86%,-123.82%,-117.32%,-119.95%,-121.55%,-122.65%,-122.81%,-123.60%,-122.94%
H17,-112.00%,-116.37%,-110.38%,-100.15%,-90.74%,-101.09%,-103.53%,-107.17%,-108.20%,-107.26%
H16,-102.60%,-107.04%,-101.07%,-89.38%,-81.98%,-88.07%,-89.60%,-91.43%,-92.32%,-95.00%
H15,-98.52%,-100.10%,-95.81%,-83.81%,-76.52%,-73.29%,-77.65%,-81.50%,-81.17%,-84.61%
H14,-91.97%,-93.50%,-88.05%,-75.90%,-69.16%,-60.98%,-63.46%,-68.14%,-69.74%,-73.03%
H13,-86.67%,-86.11%,-80.66%,-70.81%,-61.07%,-46.92%,-52.42%,-55.25%,-58.70%,-61.93%
H12,-82.17%,-78.94%,-75.49%,-62.79%,-51.57%,-34.17%,-37.42%,-42.02%,-46.23%,-50.67%
H11,13.37%,18.23%,25.33%,35.17%,46.25%,66.90%,62.96%,56.19%,52.02%,47.76%
H10,-0.21%,0.59%,13.77%,28.28%,40.31%,58.28%,52.02%,47.38%,41.35%,39.14%
H9,-41.01%,-46.73%,-28.00%,-0.59%,10.82%,31.09%,25.94%,18.12%,11.99%,8.07%
H8,-81.00%,-74.46%,-71.34%,-43.87%,-18.62%,9.28%,0.97%,-6.26%,-12.59%,-20.99%
H7,-113.58%,-94.83%,-94.45%,-83.88%,-58.82%,-13.35%,-19.58%,-27.76%,-35.48%,-43.23%
H6,-129.88%,-105.97%,-105.94%,-99.89%,-89.63%,-27.73%,-30.88%,-39.36%,-48.37%,-56.09%
H5,-132.64%,-107.89%,-107.98%,-101.98%,-95.30%,-30.32%,-32.72%,-41.35%,-50.61%,-58.32%
H4,-132.64%,-107.89%,-107.98%,-101.98%,-95.30%,-30.32%,-32.72%,-41.35%,-50.61%,-58.32%
S20,-4.79%,-1.47%,12.65%,26.76%,37.29%,59.06%,51.42%,45.78%,40.97%,37.04%
S19,-19.64%,-23.63%,-7.94%,20.53%,30.60%,47.64%,39.70%,35.19%,28.49%,24.30%
S18,-36.10%,-34.03%,-30.42%,-0.69%,23.85%,38.98%,29.52%,23.87%,19.82%,11.54%
S17,-54.38%,-45.91%,-39.23%,-23.00%,-0.06%,26.05%,19.16%,11.39%,4.90%,-2.21%
S16,-60.68%,-52.13%,-46.41%,-32.89%,-19.47%,19.98%,10.49%,5.42%,-0.99%,-7.87%
S15,-60.78%,-51.36%,-45.49%,-33.13%,-18.87%,18.20%,12.80%,5.84%,-1.42%,-6.27%
S14,-59.24%,-51.17%,-40.40%,-30.27%,-15.58%,17.14%,13.85%,5.71%,-0.10%,-5.61%
S13,-60.47%,-51.13%,-43.21%,-29.37%,-17.78%,20.32%,13.66%,6.73%,-0.20%,-7.02%
S12,-53.42%,-50.39%,-48.65%,-33.98%,-21.36%,20.47%,12.81%,4.66%,1.07%,-6.52%
